Date,Open,High,Low,Close,Adj Close,Volume
9/9/2019,142.369995,142.460007,141.179993,141.389999,141.389999,11323800
9/10/2019,141.229996,141.529999,140.160004,140.179993,140.179993,12629200
9/11/2019,140.339996,141.259995,140.279999,141.029999,141.029999,7453000
9/12/2019,142.679993,143.100006,141.110001,141.320007,141.320007,12673700
9/13/2019,141.729996,141.990005,140.059998,140.149994,140.149994,13451700
9/16/2019,141.600006,142.050003,141.020004,141.320007,141.320007,8094600
9/17/2019,141.820007,142.110001,141.220001,141.600006,141.600006,7010200
9/18/2019,141.929993,142.529999,139.809998,140.710007,140.710007,15026300
9/19/2019,141.570007,141.740005,141.089996,141.279999,141.279999,8057400
9/20/2019,141.610001,143.029999,141.460007,142.949997,142.949997,12110000
9/23/2019,143.220001,143.940002,143.070007,143.75,143.75,9006500
9/24/2019,143.210007,144.770004,142.880005,144.509995,144.509995,10576300
9/25/2019,144.080002,144.289993,141.440002,141.830002,141.830002,11648400
9/26/2019,142.190002,142.570007,141.559998,141.789993,141.789993,7984600
9/27/2019,140.350006,141.679993,140.160004,141.059998,141.059998,9804200
9/30/2019,139.770004,140.210007,138.029999,138.869995,138.869995,15459100
10/1/2019,138.070007,140.190002,137.800003,139.630005,139.630005,12476200
10/2/2019,140.789993,141.880005,140.460007,141.259995,141.259995,11914300
10/3/2019,141.360001,143.25,141.289993,141.899994,141.899994,12396100
10/4/2019,141.479996,142.309998,141.139999,141.899994,141.899994,9651000
10/7/2019,141.160004,141.770004,140.240005,140.690002,140.690002,6127200
10/8/2019,142.029999,142.289993,141.169998,141.919998,141.919998,10428900
10/9/2019,142.160004,142.580002,141.619995,142.050003,142.050003,6927700
10/10/2019,141.589996,141.660004,140.580002,140.809998,140.809998,9301700
10/11/2019,139.970001,140.190002,138.910004,140.029999,140.029999,11333400
10/14/2019,140.449997,140.820007,140.339996,140.589996,140.589996,4006700
10/15/2019,140.270004,140.300003,139.210007,139.610001,139.610001,9128300
10/16/2019,140.139999,140.529999,139.699997,140.410004,140.410004,10330300
10/17/2019,140.5,141.119995,140.419998,140.610001,140.610001,6131000
10/18/2019,140.5,140.710007,140.320007,140.460007,140.460007,6416100
